ID,nazwa,czas trwania
2036456,On-line ćwiczenia grupowe ,45
3481628,Terapia trzewna,45
1606695,Ćwiczenia CKiK,90
3493831,Konsultacja ginekologiczna/położnicza z USG Dobroch,40
3223584,Wizyta terapetyczna 90 min,90
3442125,Terapia uroginekologiczna 60 min,60
2036457,On-line ćwiczenia grupowe ,46
3481629,Terapia trzewna,46
1606696,Ćwiczenia CKiK,91
3493832,Konsultacja ginekologiczna/położnicza z USG Dobroch,41
3223585,Wizyta terapetyczna 90 min,91
3442126,Terapia uroginekologiczna 60 min,61
2036458,On-line ćwiczenia grupowe ,47
3481630,Terapia trzewna,47
1606697,Ćwiczenia CKiK,92
3493833,Konsultacja ginekologiczna/położnicza z USG Dobroch,42
3223586,Wizyta terapetyczna 90 min,92
3442127,Terapia uroginekologiczna 60 min,62
2036459,On-line ćwiczenia grupowe ,48
3481631,Terapia trzewna,48
1606698,Ćwiczenia CKiK,93
3493834,Konsultacja ginekologiczna/położnicza z USG Dobroch,43
3223587,Wizyta terapetyczna 90 min,93
3442128,Terapia uroginekologiczna 60 min,63
2036460,On-line ćwiczenia grupowe ,49
3481632,Terapia trzewna,49
1606699,Ćwiczenia CKiK,94
3493835,Konsultacja ginekologiczna/położnicza z USG Dobroch,44
3223588,Wizyta terapetyczna 90 min,94
3442129,Terapia uroginekologiczna 60 min,64
2036461,On-line ćwiczenia grupowe ,50
3481633,Terapia trzewna,50
1606700,Ćwiczenia CKiK,95
3493836,Konsultacja ginekologiczna/położnicza z USG Dobroch,45
3223589,Wizyta terapetyczna 90 min,95
3442130,Terapia uroginekologiczna 60 min,65
2036462,On-line ćwiczenia grupowe ,51
3481634,Terapia trzewna,51
1606701,Ćwiczenia CKiK,96
3493837,Konsultacja ginekologiczna/położnicza z USG Dobroch,46
3223590,Wizyta terapetyczna 90 min,96
3442131,Terapia uroginekologiczna 60 min,66
2036463,On-line ćwiczenia grupowe ,52
3481635,Terapia trzewna,52
1606702,Ćwiczenia CKiK,97
3493838,Konsultacja ginekologiczna/położnicza z USG Dobroch,47
3223591,Wizyta terapetyczna 90 min,97
3442132,Terapia uroginekologiczna 60 min,67
2036464,On-line ćwiczenia grupowe ,53
3481636,Terapia trzewna,53
1606703,Ćwiczenia CKiK,98
3493839,Konsultacja ginekologiczna/położnicza z USG Dobroch,48
3223592,Wizyta terapetyczna 90 min,98
3442133,Terapia uroginekologiczna 60 min,68
2036465,On-line ćwiczenia grupowe ,54
3481637,Terapia trzewna,54
1606704,Ćwiczenia CKiK,99
3493840,Konsultacja ginekologiczna/położnicza z USG Dobroch,49
3223593,Wizyta terapetyczna 90 min,99
3442134,Terapia uroginekologiczna 60 min,69
2036466,On-line ćwiczenia grupowe ,55
3481638,Terapia trzewna,55
1606705,Ćwiczenia CKiK,100
3493841,Konsultacja ginekologiczna/położnicza z USG Dobroch,50
3223594,Wizyta terapetyczna 90 min,100
3442135,Terapia uroginekologiczna 60 min,70
2036467,On-line ćwiczenia grupowe ,56
3481639,Terapia trzewna,56
1606706,Ćwiczenia CKiK,101
3493842,Konsultacja ginekologiczna/położnicza z USG Dobroch,51
3223595,Wizyta terapetyczna 90 min,101
3442136,Terapia uroginekologiczna 60 min,71
2036468,On-line ćwiczenia grupowe ,57
3481640,Terapia trzewna,57
1606707,Ćwiczenia CKiK,102
3493843,Konsultacja ginekologiczna/położnicza z USG Dobroch,52
3223596,Wizyta terapetyczna 90 min,102
3442137,Terapia uroginekologiczna 60 min,72
2036469,On-line ćwiczenia grupowe ,58
3481641,Terapia trzewna,58
1606708,Ćwiczenia CKiK,103
3493844,Konsultacja ginekologiczna/położnicza z USG Dobroch,53
3223597,Wizyta terapetyczna 90 min,103
3442138,Terapia uroginekologiczna 60 min,73
2036470,On-line ćwiczenia grupowe ,59
3481642,Terapia trzewna,59
1606709,Ćwiczenia CKiK,104
3493845,Konsultacja ginekologiczna/położnicza z USG Dobroch,54
3223598,Wizyta terapetyczna 90 min,104
3442139,Terapia uroginekologiczna 60 min,74
2036471,On-line ćwiczenia grupowe ,60
3481643,Terapia trzewna,60
1606710,Ćwiczenia CKiK,105
3493846,Konsultacja ginekologiczna/położnicza z USG Dobroch,55
3223599,Wizyta terapetyczna 90 min,105
3442140,Terapia uroginekologiczna 60 min,75
2036472,On-line ćwiczenia grupowe ,61
3481644,Terapia trzewna,61
1606711,Ćwiczenia CKiK,106
3493847,Konsultacja ginekologiczna/położnicza z USG Dobroch,56
3223600,Wizyta terapetyczna 90 min,106
3442141,Terapia uroginekologiczna 60 min,76
2036473,On-line ćwiczenia grupowe ,62
3481645,Terapia trzewna,62
1606712,Ćwiczenia CKiK,107
